0.0,0.4326
0.05,0.430217
0.1,0.427833
0.15,0.42545
0.2,0.423067
0.25,0.420683
0.3,0.4183
0.35,0.415917
0.4,0.413533
0.45,0.41115
0.5,0.408767
0.55,0.406383
0.6,0.404
0.65,0.410283
0.7,0.416567
0.75,0.42285
0.8,0.429133
0.85,0.435417
0.9,0.4417
0.95,0.475217
1.0,0.508733
1.05,0.54225
1.1,0.575767
1.15,0.609283
1.2,0.6428
1.25,0.632567
1.3,0.622333
1.35,0.6121
1.4,0.601867
1.45,0.591633
1.5,0.5814
1.55,0.571167
1.6,0.560933
1.65,0.5507
1.7,0.540467
1.75,0.530233
1.8,0.52
1.85,0.509767
1.9,0.499533
1.95,0.4893
2.0,0.479067
