0.0,0.4713
0.05,0.471567
0.1,0.471833
0.15,0.4721
0.2,0.472367
0.25,0.472633
0.3,0.4729
0.35,0.473167
0.4,0.473433
0.45,0.4737
0.5,0.473967
0.55,0.474233
0.6,0.4745
0.65,0.474917
0.7,0.475333
0.75,0.47575
0.8,0.476167
0.85,0.476583
0.9,0.477
0.95,0.509233
1.0,0.541467
1.05,0.5737
1.1,0.605933
1.15,0.638167
1.2,0.6704
1.25,0.6564
1.3,0.6424
1.35,0.6284
1.4,0.6144
1.45,0.6004
1.5,0.5864
1.55,0.5724
1.6,0.5584
1.65,0.5444
1.7,0.5304
1.75,0.5164
1.8,0.5024
1.85,0.4884
1.9,0.4744
1.95,0.4604
2.0,0.4464
